Id	control1	control2	control3	control4	coldshock1	coldshock2	coldshock3	coldshock4	heatshock1	heatshock2	norm.control1	norm.control2	norm.control3	norm.control4	norm.coldshock1	norm.coldshock2	norm.coldshock3	norm.coldshock4	norm.heatshock1	norm.heatshock2	baseMean	control	coldshock	heatshock	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0052636	2	15	6	21	0	0	0	0	31	7	4	6	10	11	0	0	0	0	16	7	5.5	8	0	12	55.128	5.785	3.701	0.000214924828798438	0.00502694886586602	0.1265	4.6364	0.855	0.855	TRUE	0.092
FBgn0032281	9	11	32	13	11	0	8	28	18	2008	19	5	51	7	11	0	14	29	9	2075	222.15	20	14	1042	75.798	6.244	3.696	0.000219050820048846	0.00511254253482247	2.0529	0.7846	1.7988	1.7988	TRUE	2.8558
FBgn0266041	1	2	1	11	0	0	0	0	74	10	2	1	2	6	0	0	0	0	39	10	5.94	3	0	24	114.683	6.842	3.695	0.00022000426652021	0.00512613651013446	0.79	4.3382	1.5086	1.5086	TRUE	1.0695
FBgn0262782	2638	14132	3723	7751	2478	3881	1213	3143	9574	19308	5606	5942	5987	4189	2561	3651	2199	3277	4993	19950	5835.4	5431	2922	12472	4.268	2.094	3.691	0.000223605748530345	0.00520128051758212	0.1347	0.6907	0.2059	0.2059	TRUE	0.2286
FBgn0002789	522	4911	1686	7317	2631	2371	898	3000	4733	53494	1109	2065	2711	3954	2719	2230	1628	3128	2468	55273	7728.59	2460	2426	28870	11.899	3.573	3.69	0.000224048754625813	0.00520282629019305	0.5853	0.6897	0.6003	0.6003	TRUE	1.3595
FBgn0035266	837	3905	1210	2994	498	370	362	582	1960	2068	1779	1642	1946	1618	515	348	656	607	1022	2137	1226.91	1746	532	1580	2.973	1.572	3.689	0.000224999804503284	0.00521614479668101	0.0651	0.7046	0.1152	0.1152	TRUE	0.4239
FBgn0027785	411	2531	739	2681	1248	1782	582	1315	5067	4533	873	1064	1188	1449	1290	1676	1055	1371	2643	4684	1729.3	1144	1348	3664	2.716	1.442	3.686	0.000227893644318449	0.00525677209273456	0.0558	0.6995	0.0975	0.0975	TRUE	0.2613
FBgn0013277	29	6	106	23	16	79	11	28	5865	61	62	3	170	12	17	74	20	29	3059	63	350.88	62	35	1561	44.513	5.476	3.675	0.000237480751315651	0.00540571917780617	1.5391	0.7488	1.4103	1.4103	TRUE	7.0004
FBgn0014368	0	11	1	9	77	105	53	98	25	7615	0	5	2	5	80	99	96	102	13	7868	826.89	3	94	3940	41.856	5.387	3.677	0.000235940752788528	0.00540571917780617	1.5312	0.7132	1.3707	1.3707	TRUE	0.2939
FBgn0032456	2691	10471	3494	7876	1392	2065	864	2208	6739	5158	5719	4403	5619	4257	1438	1942	1566	2302	3515	5330	3608.97	5000	1812	4422	2.439	1.286	3.676	0.000237102270364557	0.00540571917780617	0.0418	0.693	0.0781	0.0781	TRUE	0.1734
FBgn0035044	130	644	114	259	60	99	19	110	374	666	276	271	183	140	62	93	34	115	195	688	205.78	218	76	442	5.773	2.529	3.676	0.000237047217748831	0.00540571917780617	0.2364	0.7924	0.2969	0.2969	TRUE	0.3761
FBgn0264997	2	5	6	13	0	0	0	0	14	25	4	2	10	7	0	0	0	0	7	26	5.62	6	0	16	76.805	6.263	3.676	0.000237012982572261	0.00540571917780617	0.4693	4.5517	1.1617	1.1617	TRUE	0.2145
FBgn0000406	1318	4000	4933	4255	457	398	275	664	1497	10435	2801	1682	7933	2300	472	374	498	692	781	10782	2831.55	3679	509	5782	11.35	3.505	3.67	0.000242832259320279	0.00546958298447943	0.5652	0.6946	0.5834	0.5834	TRUE	2.0892
FBgn0016684	251	1793	1044	2880	70	130	105	130	602	1466	533	754	1679	1556	72	122	190	136	314	1515	687.19	1130	130	914	7.037	2.815	3.671	0.000241889767037554	0.00546958298447943	0.3263	0.7185	0.3731	0.3731	TRUE	0.048
FBgn0032287	113	216	287	344	73	6	4	66	147	2048	240	91	462	186	75	6	7	69	77	2116	332.83	245	39	1096	27.816	4.798	3.671	0.000241921465732166	0.00546958298447943	1.1464	0.7521	1.0838	1.0838	TRUE	0.8636
FBgn0032393	302	1971	437	1452	214	261	94	311	898	930	642	829	703	785	221	245	170	324	468	961	534.85	740	240	714	2.965	1.568	3.669	0.00024307546016346	0.00546958298447943	0.0664	0.7275	0.1146	0.1146	TRUE	0.4056
FBgn0034933	214	930	234	708	149	160	83	230	801	352	455	391	376	383	154	150	150	240	418	364	308.09	401	174	391	2.247	1.168	3.671	0.000241361599154487	0.00546958298447943	0.0219	0.7574	0.0612	0.0612	TRUE	0.4714
FBgn0038407	368	2029	814	2049	432	497	175	321	1413	2033	782	853	1309	1107	446	467	317	335	737	2101	845.48	1013	391	1419	3.62	1.856	3.67	0.000242958304669686	0.00546958298447943	0.1046	0.7126	0.1625	0.1625	TRUE	0.1738
FBgn0010551	2115	12501	1754	6004	1223	1455	571	1514	5618	3944	4494	5256	2821	3245	1264	1369	1035	1579	2930	4075	2806.72	3954	1312	3502	2.669	1.417	3.667	0.000245102230943852	0.00549769078725846	0.0542	0.6947	0.0951	0.0951	TRUE	0.0917
FBgn0038717	84	219	159	334	12	3	9	0	13	643	179	92	256	181	12	3	16	0	7	664	140.95	177	8	336	43.334	5.437	3.662	0.000250669286415978	0.0056134481854288	1.4863	0.8409	1.3596	1.3596	TRUE	0.3792
FBgn0002021	226	1092	253	838	103	177	55	146	497	399	480	459	407	453	106	166	100	152	259	412	299.55	450	131	336	2.543	1.346	3.661	0.000251266911625853	0.00561772640442461	0.0377	0.7594	0.0821	0.0821	TRUE	0.2262
FBgn0283666	267	975	465	1244	281	297	125	248	1229	573	567	410	748	672	290	279	227	259	641	592	468.53	599	264	616	2.335	1.223	3.657	0.000255632387280689	0.00569689144364077	0.0326	0.7333	0.0694	0.0694	TRUE	0.1904
FBgn0261446	2	7	2	9	0	0	0	0	3	56	4	3	3	5	0	0	0	0	2	58	7.47	4	0	30	138.112	7.11	3.655	0.000256869155902293	0.00571523530934297	1.2906	3.5925	1.7393	1.7393	TRUE	0.0703
