Id	control1	control2	control3	control4	coldshock1	coldshock2	coldshock3	coldshock4	heatshock1	heatshock2	norm.control1	norm.control2	norm.control3	norm.control4	norm.coldshock1	norm.coldshock2	norm.coldshock3	norm.coldshock4	norm.heatshock1	norm.heatshock2	baseMean	control	coldshock	heatshock	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0035444	109	705	182	425	609	489	452	831	707	738	232	296	293	230	629	460	819	866	369	763	495.67	263	694	566	2.639	1.4	3.836	0.000124883285703956	0.00116294538441993	0.0776	0.7307	0.1249	0.1249	TRUE	0.1534
FBgn0004921	874	5596	2194	7807	7531	9800	4107	10362	14173	15615	1857	2353	3528	4219	7782	9218	7444	10804	7392	16134	7073.19	2989	8812	11763	2.947	1.559	3.836	0.000125261573168375	0.0011649649143765	0.108	0.69	0.1586	0.1586	TRUE	0.6245
FBgn0036996	459	1627	575	2232	5587	6569	10693	5312	4216	68835	975	684	925	1206	5773	6179	19381	5539	2199	71124	11398.5	948	9218	36662	9.727	3.282	3.836	0.000125250785537466	0.0011649649143765	0.7055	0.6888	0.7029	0.7029	TRUE	4.4798
FBgn0030876	8	32	13	55	167	140	189	46	41	198	17	13	21	30	173	132	343	48	21	205	100.18	20	174	113	8.525	3.092	3.833	0.000126399779400861	0.00117403759065124	0.5489	0.9036	0.5937	0.5937	TRUE	0.1338
FBgn0038394	0	5	0	6	53	25	26	48	33	0	0	2	0	3	55	24	47	50	17	0	19.8	1	44	8	26.925	4.751	3.832	0.000126918390079694	0.00117809649029601	0.9379	1.7831	1.153	1.153	TRUE	0.5271
FBgn0052644	144	220	14	4	3751	10710	25	8752	13865	36	306	93	23	2	3876	10074	45	9126	7231	37	3081.23	106	5780	3634	54.765	5.775	3.831	0.000127537707391622	0.00118180550626681	2.497	0.694	2.1778	2.1778	TRUE	0.2728
FBgn0265836	0	1	0	0	24	2	84	22	0	22	0	0	0	0	25	2	152	23	0	23	22.5	0	50	12	182.765	7.514	3.831	0.000127645474869749	0.00118180550626681	3.1876	1.6515	2.7528	2.7528	TRUE	0.6849
FBgn0026077	33	273	111	293	1304	1201	1330	697	451	11427	70	115	179	158	1347	1130	2411	727	235	11807	1817.85	130	1404	6021	10.75	3.426	3.829	0.000128702797920048	0.00119071471322482	0.7758	0.6989	0.7646	0.7646	TRUE	0.9797
FBgn0036363	1	6	2	14	81	23	115	38	10	422	2	3	3	8	84	22	208	40	5	436	81.01	4	88	220	22.077	4.464	3.827	0.000129808947274218	0.00119876029747669	1.2018	0.9549	1.1648	1.1648	TRUE	0.8997
FBgn0003175	958	5342	1259	4059	5108	4388	3633	3251	4382	1361	2036	2246	2025	2194	5278	4127	6585	3390	2285	1406	3157.2	2125	4845	1846	2.279	1.189	3.826	0.000130021751093662	0.00119978951101037	0.0524	0.6938	0.0923	0.0923	TRUE	0.0995
FBgn0046876	21	68	36	33	151	108	193	107	47	13	45	29	58	18	156	102	350	112	25	13	90.59	38	180	19	4.899	2.293	3.823	0.000131956494885929	0.00121470666274458	0.2548	0.9265	0.3267	0.3267	TRUE	0.765
FBgn0052105	3	69	19	116	232	171	228	120	14	30	6	29	31	63	240	161	413	125	7	31	110.59	32	235	19	7.161	2.84	3.821	0.000132825969705448	0.00122115289600537	0.4507	0.8832	0.5108	0.5108	TRUE	0.2366
FBgn0033378	247	1386	145	357	1092	1097	870	1207	1750	976	525	583	233	193	1128	1032	1577	1259	913	1008	845.05	384	1249	960	3.257	1.704	3.82	0.000133327536651075	0.00122498387270631	0.1292	0.7126	0.1891	0.1891	TRUE	0.561
