Id	control1	control2	control3	control4	coldshock1	coldshock2	coldshock3	coldshock4	heatshock1	heatshock2	norm.control1	norm.control2	norm.control3	norm.control4	norm.coldshock1	norm.coldshock2	norm.coldshock3	norm.coldshock4	norm.heatshock1	norm.heatshock2	baseMean	control	coldshock	heatshock	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0033874	2	55	2	38	23	18	19	26	4	3	4	23	3	21	24	17	34	27	2	3	15.86	13	26	2	0.099	-3.33	-3.208	0.00133803929316374	0.0179666558927535	0.2744	2.0558	0.4784	0.4784	TRUE	0.1632
FBgn0037252	710	3897	668	2148	4101	4294	2652	3194	4349	1745	1509	1639	1074	1161	4238	4039	4807	3330	2268	1803	2586.73	1346	4104	2036	0.496	-1.011	-3.208	0.00133715112637567	0.0179666558927535	0.0299	0.6953	0.0633	0.0633	TRUE	0.1122
FBgn0038071	35	281	51	102	1117	521	1532	576	118	295	74	118	82	55	1154	490	2777	601	62	305	571.76	82	1256	184	0.146	-2.779	-3.206	0.00134765523812232	0.0180606716053697	0.442	0.7249	0.4783	0.4783	TRUE	0.3375
FBgn0035246	129	1255	804	3380	4741	3062	5960	2195	711	976	274	528	1293	1827	4899	2880	10802	2289	371	1008	2617.1	980	5218	690	0.132	-2.92	-3.202	0.00136687467364548	0.0182298333646328	0.5234	0.6952	0.532	0.532	TRUE	0.349
FBgn0002921	7140	40343	16966	52563	42467	38470	27073	36991	39291	13846	15173	16962	27284	28407	43883	36185	49069	38570	20491	14306	29033.23	21956	41927	17398	0.415	-1.269	-3.201	0.00137175399630228	0.0182772661204518	0.0588	0.6877	0.1006	0.1006	TRUE	0.1936
FBgn0038675	160	899	243	668	799	705	549	725	867	453	340	378	391	361	826	663	995	756	452	468	562.98	368	810	460	0.569	-0.814	-3.198	0.00138244123208902	0.018366529330552	0.0124	0.7255	0.0399	0.0399	TRUE	0.1471
FBgn0260943	200	966	1256	3536	4333	3438	4959	3082	1956	516	425	406	2020	1911	4477	3234	8988	3214	1020	533	2622.82	1190	4978	776	0.156	-2.68	-3.197	0.00138796485726118	0.0184045205688845	0.3995	0.6952	0.4493	0.4493	TRUE	0.6278
FBgn0052600	31	250	123	484	456	247	482	228	142	92	66	105	198	262	471	232	874	238	74	95	261.44	158	454	84	0.186	-2.424	-3.194	0.00140144981631071	0.018565514968327	0.3084	0.77	0.3618	0.3618	TRUE	0.3261
FBgn0034606	171	1093	540	1804	1104	1031	846	1218	785	398	363	460	868	975	1141	970	1533	1270	409	411	840.09	666	1228	410	0.334	-1.582	-3.189	0.00142783776891092	0.0188068965233958	0.101	0.7128	0.156	0.156	TRUE	0.1833
FBgn0025790	298	1671	412	1653	1087	1253	963	1024	1122	630	633	703	663	893	1123	1179	1745	1068	585	651	924.28	723	1279	618	0.484	-1.048	-3.186	0.00144248034716116	0.0189636069997391	0.0329	0.7104	0.0682	0.0682	TRUE	0.4739
FBgn0033484	169	1751	986	4366	3366	2551	3442	2225	1550	439	359	736	1586	2360	3478	2400	6239	2320	808	454	2073.88	1260	3609	631	0.175	-2.515	-3.186	0.00144222144499903	0.0189636069997391	0.3478	0.6974	0.3984	0.3984	TRUE	0.6339
FBgn0030317	239	994	970	1666	1205	931	458	1057	443	11	508	418	1560	900	1245	876	830	1102	231	11	768.17	846	1013	121	0.12	-3.059	-3.184	0.00145105370019049	0.0190581834368175	0.565	0.7152	0.5865	0.5865	TRUE	0.5522
FBgn0030158	53	344	272	903	1138	818	1362	619	528	139	113	145	437	488	1176	769	2469	645	275	144	666.11	296	1265	210	0.166	-2.592	-3.18	0.00147483765573703	0.0192530228218577	0.3961	0.7195	0.423	0.423	TRUE	0.4312
FBgn0031299	26	156	128	390	80	145	197	81	37	29	55	66	206	211	83	136	357	84	19	30	124.73	134	165	24	0.149	-2.748	-3.179	0.00147695922430333	0.0192530228218577	0.3995	0.861	0.455	0.455	TRUE	0.3151
FBgn0086673	0	10	6	8	73	56	133	23	24	3	0	4	10	4	75	53	241	24	13	3	42.69	4	98	8	0.082	-3.616	-3.18	0.00147075956844849	0.0192530228218577	0.6816	1.1953	0.76	0.76	TRUE	0.3549
FBgn0032651	4	71	45	168	265	221	249	101	11	45	9	30	72	91	274	208	451	105	6	46	129.21	50	260	26	0.1	-3.328	-3.176	0.00149202588668479	0.019375302327372	0.6522	0.8549	0.6816	0.6816	TRUE	0.0881
FBgn0263846	49	443	383	1855	636	548	646	369	241	53	104	186	616	1003	657	515	1171	385	126	55	481.76	477	682	90	0.133	-2.915	-3.175	0.00149617398679962	0.0194109257986952	0.503	0.732	0.5334	0.5334	TRUE	0.3344
FBgn0034789	68	702	371	1771	1173	692	769	405	393	90	145	295	597	957	1212	651	1394	422	205	93	597.05	498	920	149	0.162	-2.624	-3.173	0.00150815893204382	0.0194749831439714	0.3925	0.7233	0.4341	0.4341	TRUE	0.1648
FBgn0264598	85	1277	690	3690	1531	1366	1363	833	615	95	181	537	1110	1994	1582	1285	2470	869	321	98	1044.62	956	1552	210	0.135	-2.887	-3.169	0.00153057115495654	0.019727520194062	0.5013	0.7077	0.529	0.529	TRUE	0.4157
