Id	control1	control2	control3	control4	coldshock1	coldshock2	coldshock3	coldshock4	heatshock1	heatshock2	norm.control1	norm.control2	norm.control3	norm.control4	norm.coldshock1	norm.coldshock2	norm.coldshock3	norm.coldshock4	norm.heatshock1	norm.heatshock2	baseMean	control	coldshock	heatshock	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0000078	2711	8002	5973	19174	2972	3424	3153	2620	4517	1175	5761	3364	9606	10362	3071	3221	5715	2732	2356	1214	4740.17	7273	3685	1785	0.245	-2.026	-3.377	0.000733793410576696	0.0156768194172235	0.1759	0.6915	0.2304	0.2304	TRUE	0.0998
FBgn0036679	1	7	32	108	8	0	9	7	0	0	2	3	51	58	8	0	16	7	0	0	14.68	28	8	0	0.005	-7.736	-3.374	0.000741173773249857	0.0157579989182252	1.983	2.1657	2.0211	2.0211	TRUE	0.0306
FBgn0037690	6	64	33	177	83	22	104	77	5	5	13	27	53	96	86	21	188	80	3	5	57.14	47	94	4	0.08	-3.65	-3.375	0.000739497342052684	0.0157579989182252	0.5423	1.0668	0.6082	0.6082	TRUE	0.1433
FBgn0039594	513	2466	1879	5672	287	408	267	391	1102	462	1090	1037	3022	3065	297	384	484	408	575	477	1083.82	2054	393	526	0.256	-1.965	-3.371	0.000747728684258745	0.0158463271561287	0.1646	0.707	0.2164	0.2164	TRUE	0.0236
FBgn0083990	7	14	21	76	0	0	0	0	0	0	15	6	34	41	0	0	0	0	0	0	9.56	24	0	0	0.006	-7.468	-3.367	0.000760622123138985	0.0160679902268864	0.9749	2.9571	1.8026	1.8026	TRUE	0.0236
FBgn0035400	662	3722	1454	6039	486	635	406	753	1225	817	1407	1565	2338	3264	502	597	736	785	639	844	1267.73	2144	655	742	0.346	-1.532	-3.358	0.00078510813811745	0.0164541774642778	0.0881	0.7041	0.1325	0.1325	TRUE	0.1573
FBgn0036116	285	1411	469	1180	166	232	98	84	505	79	606	593	754	638	172	218	178	88	263	82	359.08	648	164	172	0.267	-1.903	-3.358	0.000785134575664244	0.0164541774642778	0.1454	0.7474	0.2022	0.2022	TRUE	0.6962
FBgn0031611	110	832	180	812	70	123	89	204	210	81	234	350	289	439	72	116	161	213	110	84	206.71	328	140	97	0.294	-1.764	-3.354	0.00079648060062648	0.0166128489258632	0.1125	0.7919	0.1707	0.1707	TRUE	0.2178
FBgn0261041	105	1379	696	3756	889	517	674	693	385	56	223	580	1119	2030	919	486	1222	723	201	58	755.99	988	838	130	0.131	-2.931	-3.351	0.000806050424844805	0.0167859365287476	0.4514	0.7156	0.4858	0.4858	TRUE	0.2179
FBgn0085218	0	21	50	167	8	18	4	17	2	1	0	9	80	90	8	17	7	18	1	1	23.17	45	12	1	0.023	-5.437	-3.34	0.000838649582539525	0.0173281540504998	1.1329	1.6235	1.2109	1.2109	TRUE	0.0271
FBgn0040001	2517	10859	7908	16146	185	378	156	675	2024	2113	5349	4566	12718	8726	191	356	283	704	1056	2183	3613.01	7840	384	1620	0.207	-2.276	-3.332	0.000862154854038947	0.0176876779887218	0.2757	0.6929	0.2984	0.2984	TRUE	0.1617
FBgn0035228	1032	6629	1998	5393	869	1149	539	605	2797	1004	2193	2787	3213	2915	898	1081	977	631	1459	1037	1719.06	2777	897	1248	0.45	-1.153	-3.319	0.000904310717917046	0.0183252414587097	0.037	0.6996	0.0768	0.0768	TRUE	0.3026
FBgn0050025	7	23	5	38	0	1	2	0	0	0	15	10	8	21	0	1	4	0	0	0	5.77	14	1	0	0.01	-6.624	-3.316	0.000912666590290326	0.018424980109485	0.1771	4.4493	1.1943	1.1943	TRUE	0.3171
FBgn0039882	245	1519	415	1425	110	171	47	37	398	145	521	639	667	770	114	161	85	39	208	150	335.25	649	100	179	0.275	-1.86	-3.314	0.000920195614726321	0.0184921502301851	0.1386	0.7517	0.1984	0.1984	TRUE	0.466
FBgn0030571	98	638	132	572	62	95	19	159	135	46	208	268	212	309	64	89	34	166	70	48	146.95	249	88	59	0.237	-2.079	-3.309	0.000936618157998261	0.018765052412824	0.1742	0.8346	0.2426	0.2426	TRUE	1.2654
FBgn0028499	104	784	104	476	221	207	251	203	163	64	221	330	167	257	228	195	455	212	85	66	221.6	244	272	76	0.31	-1.691	-3.308	0.00093835468223025	0.0187713588931606	0.1034	0.7849	0.159	0.159	TRUE	0.6214
FBgn0038439	1	31	19	81	55	0	51	49	0	0	2	13	31	44	57	0	92	51	0	0	28.99	22	50	0	0.006	-7.381	-3.308	0.000940608085059506	0.018783566868377	1.9665	1.4358	1.8389	1.8389	TRUE	0.0912
FBgn0035258	2	22	14	53	121	92	93	46	3	0	4	9	23	29	125	87	169	48	2	0	49.43	16	107	1	0.058	-4.119	-3.305	0.000948889515980077	0.0188677534329593	0.343	1.126	0.4631	0.4631	TRUE	0.0639
FBgn0086665	15	26	8	26	0	0	0	0	0	0	32	11	13	14	0	0	0	0	0	0	6.97	18	0	0	0.008	-6.998	-3.291	0.000998027137937781	0.0196085599735008	0.2184	3.7999	1.5411	1.5411	TRUE	0.6148
